election_id,cancellation_reason
local.gwynedd.llanrug.2017-05-04,EQUAL_CANDIDATES
local.mid-devon.taw.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.deiniolen.2017-05-04,EQUAL_CANDIDATES
local.powys.maescarllywel.2017-05-04,EQUAL_CANDIDATES
local.cheshire-east.mobberley.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.canol-bethesda.2022-05-05,EQUAL_CANDIDATES
local.melton.bottesford.2019-05-02,EQUAL_CANDIDATES
local.caerphilly.twyn-carno.2017-05-04,EQUAL_CANDIDATES
local.inverclyde.inverclyde-east.2022-05-05,EQUAL_CANDIDATES
local.neath-port-talbot.briton-ferry-west.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.nefyn.2022-05-05,EQUAL_CANDIDATES
local.malvern-hills.tenbury.2019-05-02,EQUAL_CANDIDATES
local.wychavon.norton-and-whittington.2019-05-02,EQUAL_CANDIDATES
local.west-devon.burrator.2019-05-02,EQUAL_CANDIDATES
local.powys.llanrhaeadr-ym-mochnant-and-llansilin.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.st-ishmaels.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.st-dogmaels.2022-05-05,EQUAL_CANDIDATES
local.east-lindsey.roughton.2023-05-04,EQUAL_CANDIDATES
local.city-of-london.cheap.2022-03-24,EQUAL_CANDIDATES
local.kent.elham-valley.2021-05-06,
local.harborough.ullesthorpe.2019-05-02,EQUAL_CANDIDATES
local.north-kesteven.cranwell-leasingham-wilsford.2023-05-04,EQUAL_CANDIDATES
local.mid-sussex.east-grinstead-herontye.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.bassishaw.2017-03-23,EQUAL_CANDIDATES
local.stockport.edgeley-and-cheadle-heath.2018-05-03,UNDER_CONTESTED
local.fenland.medworth.2019-05-02,EQUAL_CANDIDATES
local.flintshire.higher-kinnerton.2022-05-05,EQUAL_CANDIDATES
local.fenland.birch.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.bishopsgate.2017-03-23,EQUAL_CANDIDATES
local.west-lindsey.kelsey-wold.2023-05-04,EQUAL_CANDIDATES
local.pembrokeshire.cilgerran.2017-05-04,EQUAL_CANDIDATES
local.south-staffordshire.penkridge-north-east-and-acton-trussell.2019-05-02,EQUAL_CANDIDATES
local.rushcliffe.nevile-langar.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.tenby-north.2022-05-05,EQUAL_CANDIDATES
local.ceredigion.troedyraur.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.rudbaxton-and-spittal.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.menai.2022-05-05,EQUAL_CANDIDATES
local.wychavon.inkberrow.2019-05-02,EQUAL_CANDIDATES
local.ribble-valley.alston-hothersall.2023-05-04,EQUAL_CANDIDATES
local.ashford.bircholt.2019-05-02,EQUAL_CANDIDATES
local.east-hertfordshire.walkern.2019-05-02,EQUAL_CANDIDATES
local.wrexham.cartrefle.2022-05-05,EQUAL_CANDIDATES
parl.thirsk-and-malton.2010-05-06,UNDER_CONTESTED
local.pembrokeshire.pembroke-dock-market.2022-05-05,EQUAL_CANDIDATES
local.fenland.st-andrews.2019-05-02,EQUAL_CANDIDATES
local.west-suffolk.withersfield.2019-05-02,EQUAL_CANDIDATES
local.conwy.pandy.2017-05-04,EQUAL_CANDIDATES
local.powys.llangynidr.2017-05-04,EQUAL_CANDIDATES
local.south-kesteven.castle.2023-05-04,EQUAL_CANDIDATES
local.carmarthenshire.llanfihangel-ar-arth.2017-05-04,EQUAL_CANDIDATES
local.powys.welshpool-llanerchyddol.2022-05-05,EQUAL_CANDIDATES
local.isles-of-scilly.st-marys.by.2023-05-20,
local.west-suffolk.bardwell.2023-05-04,EQUAL_CANDIDATES
local.ashford.mersham-sevington-south-with-finberry.2019-05-02,EQUAL_CANDIDATES
local.powys.tawe-uchaf.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.deiniolen.2022-05-05,EQUAL_CANDIDATES
local.ashford.tenterden-south.2019-05-02,EQUAL_CANDIDATES
